publisher,number of published games
"Gamecock Media Group, SouthPeak Games, Atari",1
crea-ture Studios,1
"Interplay Entertainment, Imagineer",1
Hucast,1
Elmer Productions,1
Interplay,1
gamescampus.com,1
Dragonfly,1
Winch Gate,1
Telegames,1
"Monte Cristo Multimedia, Oceanus Communications, Sega, Pugland, SPO Team",1
Redshift,1
Locomalito,1
"Conspiracy Entertainment, RTL Games",1
"Empire Interactive, Destineer",1
Hip Games,1
Inhuman Games,1
"Valve, Noviy Disk",1
Project Two Interactive BV,1
Trendy Entertainment,1
Unisonshift,1
"Tale of Tales, 1C Company",1
TalonSoft and Global Star Software,1
tinyBuild,1
Greenwave Games,1
Bandai Namco,1
"Interplay Entertainment, Egmont Interactive, Rede Globo",1
THQ Inc.,1
Third Wave Games,1
iGames Publishing,1
icehole,1
"Canal+ Multimedia, RMN, Microids",1
Broken Rules,1
The Voyager Co.,1
"Atlus, Aeria, Playsea",1
"1C Company, Black Bean, Strategy First",1
"Square Co., Square Electronic Arts, Eidos Interactive",1
Sammy Studios,1
"ZOO Digital Group, Capcom",1
Vision Software,1
Sunstorm Interactive,1
"WizardWorks, Infogrames",1
Merscom,1
"Palestar, Got Game Entertainment",1
Priority Interrupt,1
"CyberFront, MediaKite, Sourcenext",1
"Atari, Warner Bros. Interactive Entertainment",1
Tripwire Interactive,1
Take-Two Interactive Software,1
Human Entertainment,1
"KID, T-TIME Technology, Beijing Entertainment All Technology, Hirameki International",1
NBC,1
Lexicon Entertainment,1
Self-published,1
Tycoon Sistemas Ltda,1
Hip Interactive,1
Metro3D,1
Infogrames Europe SA,1
Cryptic Comet,1
Russobit-M,1
Blimey! Games Ltd.,1
"Majesco Entertainment, Codemasters",1
R&P Electronic Media,1
"Atari, Infogrames",1
Farlan Entertainment,1
Tantrum Entertainment,1
"Myelin Media, SEGA",1
Snood World,1
"Airborne, MacPlay, EA Mobile, Broderbund",1
MP Entertainment,1
NCS,1
Konam,1
Xicat Interactive,1
Warner Bros. Games,1
Rage Software,1
Chiselbrain Software,1
"Maxis, Mindscape",1
"Eidos Interactive, Infogrames",1
Culture Shock Games,1
Sunflowers Interactive Entertainment Software,1
"Wizgate, Fullerton",1
Reverb Triple XP,1
Playmates Interactive,1
"Black Label Games, Konami",1
Bap Interactive,1
Re-Logic,1
OGPlanet,1
Team Cherry,1
NEC,1
"Namco, Zoo Digital Publishing, Hip Games",1
"Audiosurf, LLC",1
"Metro 3D, Conspiracy Entertainment",1
Big Deez Productions,1
LFS Team,1
"Actualize, Electronic Arts",1
"THQ, Warner Bros. Digital Distribution",1
Microapplication,1
CipSoft GmbH,1
Levande Böcker,1
"Activision, Shaba Games",1
"Sega, Hasbro Interactive, Infogrames",1
"THQ, D3, Capcom",1
Isotx,1
Mountain King Studios,1
Discovery Communications,1
"LucasArts,",1
"Imagineer, Infogrames",1
PopCap Game,1
Big Finish Games,1
Legacy Games,1
Triangle Studios,1
Sony Interactive Studios America,1
"dtp entertainment, THQ, Eidos Interactive, Fx Interactive",1
Hirameki International,1
"THQ, Capcom",1
Illusion Soft,1
"LucasArts, TT Games",1
Namco Bandai,1
PocketGearHandango,1
Data Design Interactive,1
TicToc Games,1
"CD Projekt, Warner Bros. Interactive Entertainment, Bandai Namco Entertainment",1
Clans to Kingdoms,1
Twilight Software,1
Cliff Johnson,1
Palladium Interactive,1
Kunos Simulazioni,1
VestelMerscom,1
Frogster Interactive Pictures,1
Graphsim EntertainmentExcalibur Publishing,1
"Acclaim Entertainment, Inc.",1
Rocketcat Games,1
System Erasure,1
"Electronic Arts, Lego Interactive",1
"Happy Digi, HanbitSoft, et al.",1
"Digital Jesters, Focus, Enlight, Buka, Valve",1
MicroProse/Hasbro Interactive,1
Ice Water Games,1
Cdv Software Entertainment,1
Crystal Dynamics,1
10tacle Studios,1
Triumph Studios,1
"Artifact Entertainment, Virtrium LLC, Tulga Games, LLC, EI Interactive",1
"iWin, Majesco Entertainment",1
Draconus Entertainment,1
Xilam,1
Mattel Interactive,1
"A Sharp, LLC",1
"The Adventure Company, Darkling Room",1
"GTE Entertainment, Europress",1
Prolific Publishing,1
Dtp entertainmentFocusAkellaCDV Software,1
CDV Software EntertainmentT-time Technology,1
Sekai Project,1
"KID, Cyberfront, SDR Project",1
MeDungeon Ltd.,1
Thinking Machine Associates,1
PUBG Corporation,1
HopeLab,1
Tru Blu Entertainment,1
UbisoftCyan WorldsGameTap,1
SilverLine Software,1
"Nexon, CDC Games USA, Chinese Gamer",1
"Electronic Arts, Activision",1
Namco Bandai Games America,1
Digital Praise,1
Strategic Simulations Inc.,1
Widescreen Games,1
Kogado Software Products,1
Papyrus Design Group,1
"Got Game Entertainment, Micro Application",1
ReadySoft,1
Analgesic Productions,1
"Deep Silver, Interactive Gaming Software",1
Cs Ware,1
"Infogrames, Stardock",1
Q Entertainment,1
Jonathan Wood,1
Eric Fredricksen,1
"Elektrogames, Kheops Studio, Mzone Studio, TOTM Studio, MC2, Encore Games",1
Visual Arts,1
Destineer,1
TRI SYNERGY,1
"Strategy First, Mindscape",1
Mastertronic,1
"Nihon Falcom, Xseed GamesNA, NIS AmericaEU",1
Disney Interactive Software,1
SourceForge.net,1
Globulation 2 Team,1
"Empire Interactive, Feral Interactive",1
NetDragon WebSoft Inc,1
Webfoot Technologies,1
Arc System Works,1
Number None,1
Traffic Software,1
"Vivendi, Sierra Entertainment, Valve",1
"Acclaim Entertainment, Sega, Feral Software",1
"OGPlanet, Moliyo, Games-Masters, Asiasoft Online, E-Games",1
"Disney Interactive Studios, THQ",1
"Electronic Arts, Strategy First",1
"Kalypso Media, SouthPeak Games",1
Nobilis,1
Studio Mebius,1
Arush Entertainment,1
"Acclaim Entertainment, Taito Corporation",1
"HD Publishing, Sierra Entertainment",1
Balmoral Software,1
Gamepot,1
Parroty Interactive,1
Muzzy Lane,1
NA: Crave EntertainmentEU: JoWooD Productions,1
Equity Games,1
Gainax,1
Softgold Computerspiele GmbH,1
Bomico Entertainment Software,1
CelTech Studios,1
Vatical Entertainment LLC,1
"Microsoft, Turbine Entertainment Software",1
Bigben Interactive S.A.,1
Team Meat,1
"Levande Böcker, PAN Vision, Strategy First",1
"KID, T-TIME Technology",1
"1C Company, Micro Application",1
Warner Bros. Interactive,1
1C CompanySnowball,1
VU Games,1
"Creat Studios, TikGames",1
Midas Interactive Entertainment,1
Image Space Incorporated,1
Myelin Media,1
"Studio 3DO, Intrepid Software",1
FOX Interactive,1
Bethesda SoftworksZeniMax MediaUbisoftValve Corporation,1
Adam Foster,1
"SOFTON Entertainment, Inc",1
"DreamCatcher Games, Wanadoo",1
"Edmark, The Learning Company",1
"Webzen, The9, NHN, ijji",1
Turner Broadcasting System,1
Crescent Moon Games,1
"Bethesda Softworks, 2K Games",1
3D RealmsNightdive Studios,1
